,Pittsburgh Penguins,Dallas Stars,New York Rangers,Edmonton Oilers,Carolina Hurricanes,Boston Bruins,Toronto Maple Leafs,Montréal Canadiens,Ottawa Senators,Philadelphia Flyers,New Jersey Devils,Atlanta Thrashers,New York Islanders,Tampa Bay Lightning,Washington Capitals,Florida Panthers,Buffalo Sabres,Detroit Red Wings,Phoenix Coyotes,St. Louis Blues,Los Angeles Kings,Nashville Predators,Anaheim Ducks,Vancouver Canucks,Calgary Flames,San Jose Sharks,Chicago Blackhawks,Colorado Avalanche
0,0,2,0,0,2,0,2,0,2,0,2,0,0,2,0,2,0,2,2,0,2,0,0,2,0,2,0,2
1,2,4,0,2,4,0,4,0,4,0,2,0,2,2,2,4,0,2,4,0,4,0,0,4,0,4,0,2
2,2,6,0,3,4,0,6,2,6,0,4,0,2,2,2,4,0,4,4,2,4,0,2,6,0,6,0,2
3,4,6,2,3,4,0,6,2,8,0,4,2,2,2,4,6,0,4,4,4,6,2,4,7,0,6,0,2
4,4,8,4,3,4,0,6,2,8,1,6,2,2,2,4,6,0,6,4,4,6,2,4,7,2,6,0,2
5,4,8,6,5,6,0,8,4,8,1,8,2,4,3,4,8,0,8,6,6,8,4,6,7,2,8,0,4
6,5,8,6,5,6,0,10,6,8,3,9,3,4,5,4,10,0,10,8,8,8,6,7,9,2,10,0,6
7,5,8,8,6,6,0,10,6,10,5,9,5,4,5,4,11,2,12,10,10,8,8,9,9,2,12,0,8
8,5,10,8,6,8,0,10,6,12,7,11,5,4,5,4,11,2,14,10,12,8,8,9,9,4,14,2,8
9,5,12,8,8,8,2,12,6,13,9,13,5,4,7,4,13,4,14,10,12,10,8,9,11,4,14,4,10
10,5,12,8,10,10,4,14,6,15,9,13,7,6,7,6,14,6,15,12,14,12,8,11,13,4,14,4,10
11,5,12,8,10,10,6,16,6,17,11,15,7,6,9,8,14,6,15,14,14,14,9,13,13,6,14,5,11
12,7,12,8,10,10,8,18,6,17,13,15,7,8,11,8,14,8,17,16,16,16,9,13,15,6,16,7,11
13,8,14,8,10,12,10,20,7,19,13,15,7,8,11,10,14,10,17,16,18,18,11,13,17,8,16,7,13
14,10,14,8,10,12,12,20,7,21,15,17,7,8,13,11,16,12,19,16,18,18,13,15,17,8,18,7,15
15,12,16,10,11,12,12,20,7,23,17,19,9,10,13,13,18,14,21,18,18,18,13,17,17,10,20,9,15
16,12,16,10,11,14,14,20,9,23,17,19,9,10,13,13,20,14,21,18,20,18,15,17,19,10,20,9,17
17,13,16,12,13,16,16,21,11,25,19,19,9,10,15,13,22,14,23,18,22,20,15,17,19,10,22,9,17
18,15,16,12,15,16,16,21,11,25,21,21,11,10,15,15,22,14,25,20,24,22,16,17,19,10,22,9,17
19,17,16,12,15,18,18,23,11,25,21,23,11,12,17,15,24,16,25,22,24,24,16,19,21,12,23,9,17
20,17,17,13,15,18,18,23,13,25,23,23,11,12,17,17,24,18,25,24,26,24,16,21,21,14,23,11,19
21,19,19,15,15,18,20,25,15,27,23,24,11,12,17,19,26,20,27,26,26,24,16,21,21,16,23,12,19
22,19,19,15,15,18,22,25,17,27,25,26,13,12,18,19,28,20,29,28,28,26,16,21,21,16,25,12,19
23,20,21,15,17,20,22,26,19,27,27,28,15,12,20,19,28,22,29,30,30,27,16,23,21,16,27,12,21
24,20,23,17,18,22,22,28,19,29,27,28,16,12,20,19,30,22,31,32,32,29,18,25,21,18,27,12,23
25,22,25,17,20,22,22,30,19,29,29,30,16,12,20,21,32,22,33,34,34,29,20,25,23,20,28,14,23
26,24,27,19,20,22,22,30,19,29,31,32,16,12,20,21,32,22,33,34,34,29,20,25,23,21,28,16,25
27,26,27,21,21,24,22,32,19,29,33,32,16,12,22,21,34,23,35,36,34,31,20,27,23,21,30,16,27
28,28,29,23,21,24,22,34,21,29,35,34,16,12,22,23,36,23,37,36,36,31,20,27,23,23,30,16,27
29,28,31,24,23,24,24,34,21,31,35,36,16,14,22,25,38,25,39,36,38,33,20,27,23,25,32,16,29
